ep_num,episode_japan_title,episode_english_title,air_date,arc,rating,votes,type,ep_duration,directors,writers,synopsis
617,Caesar Gekiha! Saikyou no Grizzly Magnum,Caesar's Defeat! The Powerful Grizzly Magnum!,"Oct 20, 2013",Punk Hazard Arc,8.2,614,Manga Canon,NA,NA,NA,Vergo attempts to kill Law even though he is cut down. The Straw Hats continue their struggle to escape the poisonous gas.
618,Shuurai! Dressrosa kara no Shikaku,Raid! An Assassin From Dressrosa!,"Oct 27, 2013",Punk Hazard Arc,7.6,510,Manga Canon,NA,NA,NA,"Luffy defeats Caesar and sends him flying out of the facility. The Straw Hats, G-5, the children and Law made it to Building R-66 where they prepare to leave the building. Baby 5 and Buffalo... Read all"
619,Ooabare! Muteki no Franky Shougun,Running Wild! Invincible General Franky!,"Nov 3, 2013",Punk Hazard Arc,7.8,529,Manga Canon,NA,NA,NA,Franky begins to attack the two Donquixote pirates who retaliated with Baby 5 turning into weapons and Buffalo launching her at their robot foe.
620,Zettai Zetsumei! Punk Hazard Dai-Bakuhatsu,A Critical Situation! Punk Hazard Explodes!,"Nov 10, 2013",Punk Hazard Arc,7.9,576,Manga Canon,NA,NA,NA,The Straw Hats are still racing towards the exit of the collapsing lab when they felt the explosion of the SAD room and then saw Shinokuni on their trail.
621,Caesar o Hokaku-seyo - General Canon Sakuretsu,Capture Caesar! General Cannon Blasts!,"Nov 17, 2013",Punk Hazard Arc,7.9,552,Manga Canon,NA,Hiroaki Miyamoto,NA,"General Franky puts up a good fight against Buffalo and Baby 5. He sends them flying away with a General Cannon, but the two refused to stay defeated despite their injuries."
622,Kandou no Saikai! Momonosuke to Kin'emon,A Touching Reunion! Momonosuke and Kin'emon!,"Nov 24, 2013",Punk Hazard Arc,7.8,527,Manga Canon,NA,NA,NA,"While the group celebrates their victory, Smoker talks with Law about him manipulating Luffy, but Law says that its the other way around."
623,Sekibetsu no Toki - Punk Hazard Shukkou!,It's Time to Say Goodbye! Leaving Punk Hazard!,"Dec 1, 2013",Punk Hazard Arc,7.6,523,Manga Canon,NA,NA,NA,"The Straw Hats and G-5 Marines part ways. Flying over the ocean, Doflamingo approaches a life raft with Baby 5 and Buffalo's heads hanging on it, which were apparently cut off by Law."
624,G-5 Kaimetsu! Doflamingo Kyuushuu!,The G-5 Wiped Out! Doflamingo's Sudden Attack!,"Dec 8, 2013",Punk Hazard Arc,8.3,830,Manga Canon,NA,NA,NA,"Caesar Clown's former minions go in a search for those who were petrified by Shinokuni. All a sudden, Doflamingo appears and kills majority of the G-5 Soldiers."
625,Kinpaku! Aokiji tai Doflamingo,Intense! Aokiji vs. Doflamingo!,"Dec 15, 2013",Punk Hazard Arc,8,670,Mixed Canon/Filler,NA,NA,NA,"Doflamingo prepares to finish Smoker off, but is stopped by Kuzan's ice. At the Thousand Sunny, Law tells some details about the recently formed pirate alliance."
626,Kieta Caesar! Kaizoku Doumei Shutsugeki,Caesar Goes Missing! The Pirate Alliance Makes a Sortie!,"Dec 22, 2013",Caesar Retrieval Arc,6.8,446,Filler,NA,NA,NA,"Smooth seas stretch out before the Straw Hats as they leave Punk Hazard far behind - but while they fear Doflamingo's return and prepare to face him, another foe lies in wait, whose powers c... Read all"
627,Luffy Umi ni Shisu!? Kaizoku Doumei Houkai,Luffy Dies at Sea!? The Pirate Alliance Comes Apart!,"Jan 5, 2014",Caesar Retrieval Arc,6.7,478,Filler,NA,NA,NA,"Breed reveals his intentions. Breed commands Luffy and Law to fight each other in a stadium-like place, while Dugong begs him to make them stop."
628,Daigyakuten! Sakuretsu Luffy Ikari no Tekken,A Major Turnaround! Luffy's Angry Iron Fist Strikes!,"Jan 12, 2014",Caesar Retrieval Arc,6.7,479,Mixed Canon/Filler,NA,NA,NA,"Chopper and the dugong make an attempt to go against Breed, but Breed orders the other animals to attack them. At that point Law, Caesar and Luffy enter the room and Luffy knocks the animals... Read all"
629,Gekishin! Shinsekai Ugokasu Dai News,Startling! The Big News Shakes up the New World!,"Jan 19, 2014",Dressrosa Arc,8.1,909,Manga Canon,NA,NA,NA,"The world learns about Doflamingo's sudden resignation from the Shichibukai. Law explains his plan for the destruction of the factory. Meanwhile, Buggy is revealed to have become a Shichibuk... Read all"
630,Bouken! Ai to Jounetsu no Kuni Dressrosa,Explore! A Kingdom of Love and Passion Dressrosa!,"Jan 26, 2014",Dressrosa Arc,7.8,756,Manga Canon,NA,NA,NA,"The Straw Hat Pirates, Law, Kin'emon and Momonosuke arrive at Dressrosa. There they divide into 3 groups. A mysterious blind man appears."
631,Nekkyou Uzumaku: Corrida Colosseum,Full of Enthusiasm! The Corrida Colosseum,"Feb 2, 2014",Dressrosa Arc,8,819,Manga Canon,NA,NA,NA,"After the blind man departs, the people in the bar start exclaiming over missing possessions, among which is Zoro's Shusui, the treasure of Wano Country."
632,Kiken na Koi: Odoriko Violet,A Dangerous Love! The Dancer Girl - Violet!,"Feb 9, 2014",Dressrosa Arc,7.8,742,Manga Canon,NA,NA,NA,"As Zoro searches for his missing katana, Sanji finds himself meeting a beautiful and stunning dancer named Violet who requires the services of Sanji in a dire matter."
633,Saikyou no Mumei Senshi! Lucy Toujou,"A Formidable, Unknown Warrior! Here Comes Lucy!","Feb 16, 2014",Dressrosa Arc,7.7,729,Mixed Canon/Filler,NA,NA,NA,"Luffy signs up for the tournament, and Franky requests him to not let anyone discover who he is. Meanwhile, Sanji is seen with Violet, wandering around Dressrosa."
634,Kaizoku Kikoushi Cavendish,A Pirate Noble! Cavendish!,"Feb 23, 2014",Dressrosa Arc,7.9,755,Manga Canon,NA,NA,NA,The famous beautiful pirate Cavendish makes an entrance and proceeds to explain to Luffy (not realizing his identity) the rules of entertainment in the Colosseum.
635,Unmei no Saikai: Hyena no Bellamy,The Fateful Reunion! Bellamy the Hyena!,"Mar 2, 2014",Dressrosa Arc,7.9,762,Manga Canon,NA,NA,NA,"Luffy meets an unexpected acquaintance from the past, Bellamy. Meanwhile, the Caesar handover team learn about Green Bit, and on the Sunny, the four who remained to watch the ship hear noise... Read all"
636,Choushinsei! Hitokui no Bartolomeo,A Super Rookie! Bartolomeo the Cannibal!,"Mar 16, 2014",Dressrosa Arc,7.9,776,Manga Canon,NA,NA,NA,The Block B battle begins. Bartolomeo is heckled by the crowd as he enters the colosseum. Cavendish tells Luffy about the competitors and reveals why he hates the new super rookies.
637,Gun'yuu Kakkyo! Hakunetsu no B Block!,Big Names Duke It Out! The Heated Block B Battle!,"Mar 23, 2014",Dressrosa Arc,7.8,738,Manga Canon,NA,NA,NA,"Seeing that his true identity is exposed, Luffy tries to defend himself from Chinjao's devastating headbutts and Cavendish's irrational hatred while trying in vain to convince them he's ""Luc... Read all"
638,Ichigeki Hissatsu! Kyoui no King Punch,A Deadly Blow! The Astonishing King Punch!,"Mar 30, 2014",Dressrosa Arc,8,790,Manga Canon,NA,NA,NA,"With Hack defeated and the remaining fighters reduced to 24, the battle royale is nearly over. Bellamy faces off Bartolomeo while at the same time Blue Gilly defeats Ricky."
639,Tougyo Shuurai! Shi no Tekkyou o Toppa Seyo,The Fighting Fish Strike! Across the Deadly Iron Bridge!,"Apr 6, 2014",Dressrosa Arc,7.7,729,Manga Canon,NA,NA,NA,"Bartolomeo wins block B. Law, Usopp and Robin prepare to cross the bridge but are attacked by a school of Fighting Fish."
640,Bouken! Yousei no Shima Green Bit,Explore! Fairies' Island - Green Bit!,"Apr 13, 2014",Dressrosa Arc,7.4,596,Manga Canon,NA,NA,NA,"Upon their arrival to Green Bit, the group discovers a Marine ship that crashed and believed that the Marines had landed on the island. Robin and Usopp begin to scout the island as Law takes... Read all"
641,Shirarezaru Sekai Tontatta Oukoku,The Unknown World! The Tontatta Kingdom!,"Apr 20, 2014",Dressrosa Arc,7.5,618,Manga Canon,NA,NA,NA,"Robin found herself captured by dwarves after they knocked her and Usopp unconscious. At the Colosseum, the C block battle royale has started, and Luffy is excited to win this for the prize."
642,Seiki no Bouryaku: Doflamingo Ugoku,The Stratagem of the Century! Doflamingo Makes His Move!,"Apr 27, 2014",Dressrosa Arc,8.4,1100,Manga Canon,NA,NA,NA,"Sanji learns the truth about what happens before their arrival in Dressrosa and warns Law to get out of Green Bit. Unfortunately, it was too late as the Marines, Issho, and Doflamingo get to... Read all"
643,Tenchi Yurugasu! Taishou Fujitora no Jitsuryoku,Shaking Heaven and Earth! Admiral Fujitora's Power!,"May 4, 2014",Dressrosa Arc,8.4,1100,Manga Canon,NA,NA,NA,"Admiral Issho and Donquixote Doflamingo prepare to fight Trafalgar Law, who is trying to stall them long enough for the Straw Hat Pirates to accomplish their missions. In the Colosseum, Luff... Read all"
644,Ikari no Ichigeki! Kyojin vs Lucy,A Blow of Anger! A Giant vs. Lucy!,"May 11, 2014",Dressrosa Arc,7.9,766,Manga Canon,NA,NA,NA,The Straw Hat Pirates on-board the Thousand Sunny find themselves in a predicament as they are under attack by the Donquixote Pirates lead by Giolla who transformed the crew as well as the s... Read all
645,Hakai-hou Sakuretsu! Lucy Kikiippatsu,Destruction Cannon Blasts! Lucy in Trouble!,"May 18, 2014",Dressrosa Arc,7.5,602,Manga Canon,NA,NA,NA,The battle Colosseum heats up as more fighters continue to drop one after another and the strongest and most infamous fighters begin to face each other.
646,Densetsu no Kaizoku - Don Chinjao!,The Legendary Pirate! Don Chinjao!,"May 25, 2014",Dressrosa Arc,9,2000,Manga Canon,NA,NA,NA,"The final two competitors of Block C, Lucy (Luffy) and Don Chinjao clash with conquerors Haki."
647,Hikari to Kage - Dressrosa ni Hisomu Yami!,Light and Shadow! Darkness Behind Dressrosa!,"Jun 1, 2014",Dressrosa Arc,7.7,603,Manga Canon,NA,NA,NA,Sanji and Kin'emon are watching Luffy's fight while observing in disguise the numerous marines surrounding the Colosseum waiting to arrest any criminal that exits the stadium.
648,Shutsugeki - Densetsu no Hero Usoland,Making a Sortie! The Legendary Hero Usoland!,"Jun 8, 2014",Dressrosa Arc,7.6,595,Manga Canon,NA,NA,NA,"Usopp, Robin and their dwarf allies are preparing for battle with the Donquixote Pirates to rescue their 500 captured dwarf comrades."
649,Gekisen Kecchaku! Lucy VS Chinjao!,The Fierce Battle Coming to the End! Lucy vs. Chinjao!,"Jun 15, 2014",Dressrosa Arc,8.4,1100,Manga Canon,NA,NA,NA,Luffy's battle with Chinjao rages forward as they both use Busoshoku Haki in the ongoing fight.
650,Luffy to Shukumei no Ken Toushi Rebecca,Luffy and the Gladiator of Fate - Rebecca!,"Jun 22, 2014",Dressrosa Arc,7.9,769,Manga Canon,NA,NA,NA,"As Luffy leaves the ring after winning Block C of the tournament, he is attacked by Cavendish. Bartolomeo reveals his connection to Luffy, and Chinjao attempts to thank Luffy for restoring h... Read all"
651,Mamorinuku! Rebecca to Omocha no Heitai,Protect You to the End! Rebecca and the Toy Soldier!,"Jun 29, 2014",Dressrosa Arc,8,780,Manga Canon,NA,NA,NA,Rebbecca's mother leaves her in the Flower Field to go back to town and bring back foot but is killed in the process. The Thunder Soldier carries her mother back and promising that he will p... Read all
652,Saigo no Chou Gekisen Ku - D Block Kaisen,The Last - and Bloodiest - Block! Block D Battle Begins!,"Jul 6, 2014",Dressrosa Arc,7.6,588,Manga Canon,NA,NA,NA,"Block D begins their battle in the Corrida Colosseum. As Rebecca enters the arena, she is taunted by the crowd."
653,Kessen! Joura vs Mugiwara no Ichimi,A Decisive Battle! Giolla vs. the Straw Hats!,"Jul 13, 2014",Dressrosa Arc,7.4,582,Mixed Canon/Filler,NA,NA,NA,"At Green Bit, Doflamingo reveals the founding of the World Government and informs Law that the royal family that ruled Dressrosa before the Riku Family was the Donquixote Family."
654,Yoshiken! Hakuba no Cavendish,Beautiful Sword! Cavendish of the White Horse!,"Jul 20, 2014",Dressrosa Arc,7.9,738,Manga Canon,NA,NA,NA,"In the Corrida Colosseum, the battle of Block D continues as Cavendish and Rebecca defeat several opponents."
655,Dai Kessen! Sanji VS Doflamingo,A Big Clash! Sanji vs. Doflamingo,"Aug 3, 2014",Dressrosa Arc,8.4,1100,Manga Canon,NA,NA,NA,"Sanji attacks Doflamingo but is defeated and saved by Law who brings him back to the Thousand Sunny. With Caesar Clown back in their control, Law orders the Straw Hats to head to Zou immedia... Read all"
656,Rebecca no Shi no Ken! Haisui no Kenbu,Rebecca's Special Attack! Last-Ditch Sword Dance!,"Aug 10, 2014",Dressrosa Arc,7.7,712,Manga Canon,NA,NA,NA,Trafalgar Law and Donquixote Doflamingo begin their duel with a bang on the iron bridge while the escaped Straw Hats are already on their way to Zou.
657,Saikyou no Senshi! Logan vs Rebecca,The Most Violent Fighter! Logan vs. Rebecca!,"Aug 17, 2014",Dressrosa Arc,7.6,582,Mixed Canon/Filler,NA,NA,NA,"Bartolomeo searches for Luffy while he stumbles upon the infirmary with the losers of Block C. In the Colosseum, the crowd continues taunting the talented Rebecca."
658,Shougeki! Omocha no Heitai no Shoutai!,A Big Surprise! The True Identity of the Toy Soldier!,"Aug 24, 2014",Dressrosa Arc,7.9,736,Manga Canon,NA,NA,NA,"After some conversation, Ricky reveals himself to be Riku Doldo III, the former king of Dressrosa and Rebecca's grandfather. In the flower fields, Gancho reveals the cruelty of the Donquixot... Read all"
659,Senritsu no Kako! Dressrosa no Himitsu,A Horrible Past! The Secret of Dressrosa,"Aug 31, 2014",Dressrosa Arc,8.2,819,Manga Canon,NA,NA,NA,"While the fight for block D continues, Thunder Soldier explains to the Straw Hat Pirates how King Riku lost the throne and respect of Dressrosa."
660,Akumu! Dressrosa Higeki no Ichiya,A Nightmare! The Tragic Night of Dressrosa!,"Sep 7, 2014",Dressrosa Arc,8.2,833,Manga Canon,NA,NA,NA,"While Doflamingo continues to control Riku Doldo III, his subordinates manage to take control of the castle with the help of an inside spy, who also took princess Viola hostage."
661,Shichibukai Taiketsu Law VS Doflamingo,A Showdown Between the Warlords! Law vs. Doflamingo!,"Sep 14, 2014",Dressrosa Arc,9.1,2000,Manga Canon,NA,NA,NA,"While Admiral Fujitora arrives at the shores of Dressrosa, there is a big ruckus in the city, with explosions and buildings being cut in half. Doflamingo finishes his fight with Law, shootin... Read all"
662,Ryouyuu Aimamieru! Mugiwara to Ten Yasha,Two Great Rivals Meet Each Other! Straw Hat and Heavenly Demon!,"Sep 21, 2014",Dressrosa Arc,9.1,2000,Manga Canon,NA,NA,NA,Admiral Fujitora and the Marines prevent Zoro from saving Law. A mysterious figure appears in the Colosseum.
663,Luffy Kyougaku: Ace no Ishi o Tsugu Otoko,Luffy Astonished! The Man Who Inherits Ace’s Will!,"Sep 28, 2014",Dressrosa Arc,9.4,3100,Manga Canon,23m,NA,NA,"Bartolomeo saves Bellamy from Dellinger who is called to guard the Toy House. Thunder Soldiers explains ""Operation SOP"". As Luffy looks for the Colosseum's exit, he is approached by Sabo."
664,SOP Sakusen Kaishi: Usoland Totsugeki,Operation SOP Starts! Usoland Charges Forth!,"Oct 5, 2014",Dressrosa Arc,7.6,602,Manga Canon,NA,NA,NA,"At the Flower Field, the Dwarf army and the Straw Hats begin to move out, with Franky taking the front entrance via the toy house while the rest of the army take the secret underground tunne... Read all"
665,Atsuki Omoi - Rebecca vs. Suleiman,A Burning Passion! Rebecca vs. Suleiman!,"Oct 12, 2014",Dressrosa Arc,7.5,580,Manga Canon,NA,NA,NA,The Colosseum D block battle is almost over with nearly 30 fighters remaining with Rebecca among them.
666,Shousha Kettei!? D Block Shougeki no Ketsumatsu,The End of the Match?! A Surprising Result of Block D!,"Oct 19, 2014",Dressrosa Arc,7.8,707,Manga Canon,NA,NA,NA,"The last standing fighter is revealed to be Rebecca, making her the winner, much to the dissatisfaction of the disbelieving audience."
667,Taishou no Ketsudan - Fujitora vs. Doflamingo,The Admiral's Decision! Fujitora vs. Doflamingo!,"Oct 26, 2014",Dressrosa Arc,7.9,753,Manga Canon,NA,NA,NA,"Viola shows Luffy's group a secret emergency lift, and the group boards it. In the Toy House, the battle between Franky and Senor Pink rages on, but they are then interrupted by the Marines."
668,Kesshou Kaishi: Eiyuu Diamante Toujou,The Final Round Starts! Diamante the Hero Shows Up!,"Nov 2, 2014",Dressrosa Arc,7.8,709,Manga Canon,NA,NA,NA,"The contenders of the final round, Burgess, Bartolomeo, Lucy, Rebecca, and Diamante make their way in the Colosseum. Doflamingo questions why Luffy is in the tower when he should be in the C... Read all"
669,Ugoku Shiro! Saikou Kanbu Pica Shutsugen,A Moving Castle! The Top Executive Pica Rises Up!,"Nov 9, 2014",Dressrosa Arc,7.7,701,Manga Canon,NA,NA,NA,"Luffy, Zoro and Viola make their way up the castle where they encounter Pica. At the Toy House, the Marines continue attacking Franky."
670,Ryuu no Tsume Sakuretsu! Lucy Kyoui no Ichigeki!,Dragon Claw Strikes! Lucy's Intimidating Attack!,"Nov 16, 2014",Dressrosa Arc,8,790,Manga Canon,NA,NA,NA,"Leo prepares to plant the Tatababasco grape in Sugar's bowl. Meanwhile, Kin'emon disguises himself to elude the Donquixote Pirates while Zoro has Luffy and Viola move on while he fights Pica... Read all"
671,Tatou Sugar: Kodomo no Heitai Totsugeki!,Defeat Sugar! The Army of the Little People Charges!,"Nov 23, 2014",Dressrosa Arc,7.7,699,Manga Canon,NA,NA,NA,"Zoro's battle with Pica continues as Luffy and Viola move forward. Meanwhile, the tower elevator makes it to the palace first floor as Lao G continues to attack Thunder Soldier."
672,Saigo no Hikari: Warera ga Taichou no Himitsu!,The Last Light of Hope! The Secret of Our Commander!,"Nov 30, 2014",Dressrosa Arc,7.9,726,Manga Canon,NA,NA,NA,"While the situation of the rebellion is getting more and more critical, Leo reveals to Usopp an important secret about their captain and the reason why their plan must not fail."
673,Panku Ningen: Gladius Dai Bakuhatsu!,The Rupture Human! Gladius Blows up Big Time!,"Dec 7, 2014",Dressrosa Arc,7.7,697,Manga Canon,NA,NA,NA,"Thunder Soldier, Kabu and Rampo progress through the castle. In the trading port, Leo tries once again to poison Sugar but her toys attack him and the dwarf army."
674,Usotsuki Usoland Tousouchuu!,A Liar! Usoland on the Run!,"Dec 14, 2014",Dressrosa Arc,8,797,Manga Canon,NA,NA,NA,"Usopp gives up on running and decides to fight for the dwarf army, attacking Trebol with a Shuriken Star."
675,Unmei no Deai: Kyros to Riku Ou,A Fateful Encounter! Kyros and King Riku!,"Dec 21, 2014",Dressrosa Arc,8.4,1100,Manga Canon,NA,NA,NA,"Usopp faces Trebol, the Thunder Soldier recalls his time as Kyros. After much time as a gladiator, Kyros manages to become King Riku's captain of his guard and later marries his eldest daugh... Read all"
676,Sakusen Shippai! Eiyuu Usoland Shisu!?,Operation Failed! Usoland the Hero Dies!?,"Dec 28, 2014",Dressrosa Arc,8.6,1200,Manga Canon,NA,NA,NA,"Ten years ago, when Dressrosa is attacked by the Donquixote Pirates, Kyros rushes to the palace to see what's happening. He is ambushed by the pirates and chained to the ground as Doflamingo... Read all"
677,Densetsu Fukkatsu! Kyros Konshin no Ichigeki,The Legend Is Back! Kyros' All-Out Attack!,"Jan 11, 2015",Dressrosa Arc,9.3,2500,Manga Canon,NA,NA,NA,"As an unconscious Sugar falls to the ground, the toys in Dressrosa begin reverting to their human forms, to the shock of the humans around them. Meanwhile, Kyros, finishes what he started 10... Read all"
678,Kaken Sakuretsu! Fukkatsu Meramera no Mi no Chikara,The Fire Fist Strikes! The Flare-Flare Fruit Power Returns!,"Jan 18, 2015",Dressrosa Arc,9.3,2500,Manga Canon,NA,NA,NA,The final Colosseum round continues as Rebecca finally remembers her father. Sabo destroys the Colosseum with his Dragon Claw Fists before leaping at the Fighting Fish bearing the Mera Mera ... Read all
679,Sassou Toujou: Kakumeigun Sanbou Souchou Sabo!,"Dashing Onto the Scene! The Chief of Staff of the Revolutionary Army, Sabo!","Jan 25, 2015",Dressrosa Arc,8.4,1200,Mixed Canon/Filler,NA,NA,NA,"The mysterious 'Lucy' finally reveals his identity, while chaos continues at the trade port and in all of Dressrosa."
680,Akuma no Wana: Dressrosa Senmetsu Sakusen,The Devil's Trap! A Dressrosa Extermination Plan!,"Feb 1, 2015",Dressrosa Arc,8.6,1200,Manga Canon,NA,NA,NA,"Doflamingo unleashes his Birdcage, sealing the entire island in strings. The strings then latch onto people and take control of them, forcing them to attack each other."
681,Go-oku no Otoko: Nerawareta Usoland!,The 500 Million Berry Man! Target: Usoland!,"Feb 8, 2015",Dressrosa Arc,8.1,831,Manga Canon,NA,NA,NA,"As citizens and Marines are forced to attack each other in the streets of Dressrosa, Doflamingo reveals to the island a hit list on the Straw Hat Pirates and their allies."
682,Tekijin Toppa: Luffy Zoro Hangeki Kaishi,Breaking Through Enemy Lines! Luffy and Zoro Launch the Counter-Attack!,"Feb 15, 2015",Dressrosa Arc,7.7,605,Manga Canon,NA,NA,NA,Sabo and Koala separate from Nico Robin's group and head in separate directions as Robin decides to move toward the palace.
683,Daichi Meidou: Hakai Kami Kyoudai Pica Kourin,With a Rumbling of the Ground! The God of Destruction - Giant Pica Descends!,"Mar 1, 2015",Dressrosa Arc,8,803,Manga Canon,NA,NA,NA,"Luffy and Zoro face off against Fujitora to get to Doflamingo. At the palace, Pica wishes to take the enemies out alone, but his high-pitched voice causes some of the subordinates to giggle,... Read all"
684,Daishuuketsu! Luffy to Kyouaku Senshi Gundan,Gathering Into a Powerful Front! Luffy and a Group of Brutal Warriors!,"Mar 15, 2015",Dressrosa Arc,7.8,726,Manga Canon,NA,NA,NA,Luffy and Law survive Pica's punch and are found by the fighters from the Colosseum. They all fight over who will kill Doflamingo and then join up together to begin the fight against Pica.
685,Kaishingeki! Luffy Gundan vs Pica!,Steady Progress! Luffy's Army vs. Pica!,"Mar 22, 2015",Dressrosa Arc,8.1,796,Manga Canon,NA,NA,NA,"After destroying Pica's arm, Chinjao and Elizabello II along with other Colosseum fighters proceed to decimate Doflamingo's soldiers."
686,Shougeki Kokuhaku! Law Atsuki Tamashii no Chikai!,A Shocking Confession! Law’s Soulful Vow!,"Mar 29, 2015",Dressrosa Arc,7.9,775,Manga Canon,NA,NA,NA,Law reveals what happened 13 years ago. Robin's group reaches Viola and Doldo's location and plan their next plan.
687,Daigekitotsu! Sanbou Souchou Sabo vs Taishou Fujitora,A Big Collision! Chief of Staff - Sabo vs. Admiral Fujitora!,"Apr 5, 2015",Dressrosa Arc,8.6,1200,Manga Canon,NA,NA,NA,Luffy's group reaches the first level of the castle while the Marines and Fujitora are held off by Sabo who easily overwhelms Vice Admiral Bastille.
688,Zettaizetsumei: Wana ni Kakatta Luffy!,A Desperate Situation! Luffy Gets Caught in a Trap!,"Apr 12, 2015",Dressrosa Arc,7.7,727,Manga Canon,NA,NA,NA,"At the plateau, Bartolomeo, Robin and Rebecca continue travelling to the flower field with the aid of Leo's beetles. Back in the tunnel, Luffy and Law get caught in a trap."
689,Daidasshutsu! Luffy Kishikaisei no Elephant Gun,A Great Escape! Luffy's Tide-Turning Elephant Gun!,"Apr 19, 2015",Dressrosa Arc,7.9,771,Manga Canon,NA,NA,NA,Doflamingo's ambush for Luffy and Law is cut short when he is skewered by Abdullah and Jeet only to be exposed as another string clone. The two captains then learn how Kelly Funk betrayed th... Read all
690,Kyoudousensen: Luffy Shouri e no Toppakou,A United Front! Luffy's Breakthrough to the Victory!,"Apr 26, 2015",Dressrosa Arc,7.5,600,Mixed Canon/Filler,NA,NA,NA,"The Colosseum fighters are struggling against the elite officers while Cavendish offers Luffy and Law a ride to the palace. Kyros joins Luffy's party, and they arrive at the battle taking pl... Read all"
691,Futarime no Samurai: Yuudachi Kanjuurou Toujou,The Second Samurai! Evening Shower Kanjuro Appears,"May 3, 2015",Dressrosa Arc,7.5,595,Manga Canon,NA,NA,NA,"At the new palace tower, the Colosseum fighters are still clashing with the Donquixote Pirates allowing Luffy, Law, Kyros and Cavendish to escape towards the third level in order to reach le... Read all"
692,Funtou to no Pica: Zoro Ichi Todome no Ichigeki,A Hard-Fought Battle Against Pica! Zoro's Deadly Attack!,"May 10, 2015",Dressrosa Arc,8.2,1100,Manga Canon,NA,NA,NA,"Zoro continues his duel with Pica allowing Robin's group to advance. At the SMILE factory, the dwarf army continues their revolt."
693,Kobito no Hime: Toraware no Mansherry,The Little People's Princess! Captive Mansherry!,"May 17, 2015",Dressrosa Arc,7.4,601,Manga Canon,NA,NA,NA,"Having fooled Senor Pink, Franky arrives at the SMILE factory. Kin'emon and Kanjuro arrive at Viola's location."
694,Fujimi! Kyoufu no Atamawari Ningyou Gundan,Invincible! A Gruesome Army of Headcracker Dolls!,"May 24, 2015",Dressrosa Arc,7.3,593,Manga Canon,NA,NA,NA,"Viola discovers Mansherry's whereabouts and sends the info to Leo. Meanwhile, Luffy's group fight against the giant nutcrackers."
695,Inochi Kakete! Luffy wa Shouri no Kirifuda,Risking Their Lives! Luffy Is the Trump Card for Victory!,"May 31, 2015",Dressrosa Arc,8,797,Manga Canon,NA,NA,NA,Rebecca reaches the flower field. Leo and Kabu leave to rescue Mansherry. Sabo continues his fight with Fujitora.
696,Namida no Saikai: Rebecca to Kyros,A Tearful Reunion! Rebecca and Kyros!,"Jun 7, 2015",Dressrosa Arc,8.4,1200,Manga Canon,NA,NA,NA,"Luffy and Law reach the flower field and continue towards the palace. However, Sugar is heading for them, eager to turn the two into toys and gain revenge."
697,Ichigeki Hissatsu: Dressrosa o Sukuu Otoko,One Shot One Kill! The Man Who Will Save Dressrosa!,"Jun 14, 2015",Dressrosa Arc,9.1,2100,Manga Canon,NA,NA,NA,"Usopp, with the help of Violet, aims at Sugar intending to take her down before she turns Luffy and Law into toys."
698,Ikari Bakuhatsu: Luffy Law Saikyou no Hisaku,Anger Erupts! Luffy and Law's Ultimate Stratagem!,"Jun 21, 2015",Dressrosa Arc,9.3,2700,Manga Canon,NA,NA,NA,The battle between Robin's group and the nutcracker army comes to a stop as the toys revert into their human selves due to Sugar being knocked unconscious again. Luffy and Law begin their fi... Read all
699,Kedakaki Ichizoku! Doflamingo no Shoutai!,A Noble Family! The True Identity of Doflamingo!,"Jun 28, 2015",Dressrosa Arc,9.1,2100,Manga Canon,NA,NA,NA,"Doflamingo recovers from Luffy's Red Hawk and continues his fight with him and Law. Sabo and Fujitora end their fight, calling it a draw."
700,Kyuukyoku no Chikara: Op-Op no Jitsu no Himitsu!,The Ultimate Power! The Secret of the Op-Op Fruit!,"Jul 5, 2015",Dressrosa Arc,8.9,2000,Manga Canon,NA,NA,NA,The Marines are having difficulty maintaining order in the streets of Dressrosa as they deal with rampaging animals and pillaging pirates as well as the absence of Admiral Fujitora.
701,Kanashiki Kioku: Shiroi Machi no Shounen Law!,Sad Memories! Law the Boy From the White Town!,"Jul 12, 2015",Dressrosa Arc,9.2,2200,Manga Canon,NA,NA,NA,The history of Flevance is revealed as Law's history prior to joining the Donquixote Pirates is explored.
702,Tenryuubito! Doffy no Souzetsu Naru Kako,A Celestial Dragon! Doffy's Stormy Past,"Jul 19, 2015",Dressrosa Arc,9.1,2100,Manga Canon,NA,NA,NA,"Doflamingo has a nightmare of his traumatic past. A flashback details the moment his parents left Mary Geoise, to when they became hunted and the death of Doflamingo and Rosinante's mother."
703,Kunan no Michi: Law to Corazon Inochi no Tabi,A Rocky Road! Law and Corazon's Journey of Life!,"Aug 2, 2015",Dressrosa Arc,9.3,2500,Manga Canon,NA,NA,NA,"Corazon talks to Law about the name ""D."" and states that they are considered troublesome by most. He also tells Law about his ulterior motives without exposing his relation to the marines."
704,Toki Sameru! Op-Op no Mi o Ubae!,The Time Is Ticking Down! Seize the Op-Op Fruit!,"Aug 9, 2015",Dressrosa Arc,9.2,2200,Manga Canon,NA,NA,NA,Donquixote Rosinante learns of his brother's intentions of stealing the Ope Ope no Mi and having him eat it. He resolves to steal it himself in order to have Trafalgar Law cured.
